,text,prediction,actual
0,urgent requirement position technical lead rhomobile technical mobility lead developer didnotprovidedepartment us ca didnotprovidecompanyprofile 1 technical lead rhomobile technical mobility lead developer note case rhomobile difficult find please find people expertise android development dojo csslocation san francisco san ramon caduration 1 yearrequired competenciesshould around 610 yr experience minimum 2yrs tech lead mobile projectsexperience rhomobile platform atleast 6 monthsshould experience cross platform mobile appsproficiency atleast one native platform io androidhandson experience essentialshould able lead team guide technical challengesshould able estimate plan various activitiesintegration experience backend system essential sap integration experience desirableesri arcgis knowledge essentialthanks regardsjsandeeptechnical recruitertekwissen llc | w phoneb464fe6050e48f0c36d00501265378e9581d5d65c73f8e39865543c69aaab557 | desk phone46ed5da44d683bbb700c54f51cd225fc80203b64e1c674f7e6d9f826a0223f31 ext 299 | fax phonec92713f1c7155e946cc5b07c854ce554f3c95f79f2cbd98500e3cfa2db4ba406|| email5f904f421f564976259f740a5c3ee9868cab5264ce252cf686be79da28bffd45 | 321 main street suite 300 ann arbor mi 48104| url3b7a90492e728246f2b56db07b079519d22b68faf5d8bbbd4e11a827db01e3ea requirement jddrive mobile app development workgather requirement client product management teamsuggesting right architecture adoptedtechnical design appcoordinate offshore team get work do offshoreshould able architect design code deploy application didnotprovidebenefits,0,1
1,resource change management process excellence change enablement manager didnotprovidedepartment us tx houston didnotprovidecompanyprofile change management professional provide knowledge experience relate skill structure tool support mechanism need manage change foster environment conducive sustain changeadapts exist method procedure create possible alternative solution moderately complex problemsunderstands strategic direction set senior management relate team goalsuses considerable judgment determine solution seek guidance complex problemsprimary upward interaction direct supervisormay interact peer andor management level client andor within accenturedetermines method procedure new assignment guidancedecisions often impact team residemanages small team andor work effort individual contributor role client within accentureadditional responsibility least one following change management offering areaschange strategy application change architectures model framework use execute global multipolar multiworkforce crossgenerational multicultural complex change successfully assist client executive communicate framework cultural norm stakeholder engagement practicesorganization change enablement approach change management science instead art use datadriven predictable methodology utilize method estimator framework integrate tightly broad project drive stakeholder engagement leadership alignment impact analysis learningtraining communication business readiness deployment adoption measurement help realign organization people action critical business imperative specific objectivesorganizational change capability support client achieve sustainable performance andor improvement within organization assist client building strong change management capability within workforce assist workforce transition internally manage operation outsource operation identify opportunity provide create additional client value develop trusted relationship key client internal customer ability meet travel requirement 100 basic qualification minimum 4 year consult experience relevant experience relate successful delivery change management work discipline change management methodology jobroleorganization design stakeholder identification engagement sponsorship alignment marketing communication trainingperformance support organizational readiness transition outsource bachelor degreepreferred skill background individual andor organizational psychology experience lead least one person experience work offshore thirdparty vendor experience global cross location multinational project experience delivery role complex integrated environment capable meet senior executive director vice president skill hand experience implement portion largescale erp organizational change program relate enable system process change may include limited change network strategy design implementation organizational impact identification mitigation plan organization alignment role map super power user strategy design implementation skill experience related talent organization performance area human capital organizational effectiveness learn collaboration human resource talent management experience use process map training development webpage development application experience project management work planning status report issue risk management estimate strong proficiency use microsoft office product eg word excel powerpointprofessional skill requirement proven success contribute teamoriented environment proven ability work creatively analytically problemsolving environment desire work information system environment excellent leadership communication write oral interpersonal skillsall consult professional receive comprehensive training cover business acumen technical professional skill development youll also opportunity hone functional skill expertise area specialization offer variety formal informal training program every level help acquire build specialized skill faster learn take place job formal training conduct online classroom collaboration teammates sheer variety work experience offer provide unbeatable platform build career didnotprovidebenefits,0,1
2,administrative manager client service us ky louisville didnotprovidecompanyprofile position fulltime salaried position generous benefit package potential individual company performancebased bonusestheadministrative manageradmin perform wide range reception administrative duty addition provide operational support company vp client service skilled communicator theadmin must able exercise good judgment discretion variety situation internal external constituency duty responsibilities administrative professional select position responsible promote culture delightful service reflect high standard professionalism care client stakeholder deservetheadmin often first person firm client team member interacts every day addition high level experience administrative support professionalism positive attitude essential ability work extended work day need plus high comfort level mobile communication also expecteddue high volume response candidate select advancement processwill contact emailduties responsibilitiesmaintain professional atmosphere company lobby overall officeprovide support company hr function mail form initiate background check maintain employee contact list coordinate new employee orientationserve point contact company landlord vendorsmaintain office supply conduct periodic price comparisonsmanage logistics internal external meeting include schedule cater meeting room presentation preparationprocess invoice expense promptlyanswer screen route incoming call resolve client need independently possiblemake travel arrangement employee maximize use reward program control expensesmaintain separate filing system company record client recordshandle incoming outgo mailprepare outgo correspondence prepare edit draft letter presentationscoordinate employee conference room calendar anticipate need schedule conflictsprepare report contain highly confidential information internal external meetingsmaintain company disaster recovery planperform client service operation support neededmonitor continue education compliance regulatory training requirement employee qualifications5 year related experience require 10+ year preferredexperience clientcustomer service require financial service experience preferredcollege degree preferredknowledge skillsdemonstrates integrity sense purposeexceptional verbal write communication skillsstrong interpersonal skill ability build relationship stakeholder internal externalproven ability provide exceptional client service handle confidential information discretionhighly effective time management organizational skillsremains calm professional pressurehas cando attitude think like ownerable prioritize execute multiple task perform accuracy thoroughnessresourceful strong problemsolving skill look fora way toget toyes rather immediately accept deliver nohighly detailedselfmotivated able work minimal direction proactively seek opportunity contribute teamactively seek opportunity improvement proposes solutionsproficient mobile communication remote computingproficient microsoft office application word excel powerpoint fulltime salaried position potential quarterly individualbased annual companybased performance bonus firmpaid premium medical dental vision insurance 100 premium cover employee pay vacation sick day firmpaid monthly health wellness allowance firmpaid parking,0,1
3,product insight analyst property casualty insurance 2168 didnotprovidedepartment us boston didnotprovidecompanyprofile 2168job title product insight analyst property casualty insurancerole consultantrelocation available yesindustry insurance legallocation massachusettstown city bostonjob type permanent fulltimejob descriptioncompany seek property casualty insurance product insight analystwe currently seek bright analytical bigpicture thinker role senior lead product analystwe look contribution following areasproduct development analysisassist development product specification technical documentationparticipate product milestone meetingsown define portion product development processanalyze insurance data define important insurance industry kpisdefine collect analyze product usage datadefine internal product performance kpis render dashboardmarket researchattend client meeting solicit customer feedback throughout product development cyclescope market needsevaluate market trend evaluate compete productsproject planning managementexecute analysis meet design requirement project timelinehighlight datarelated technical business issue soon possible resolutionsales market supporthelp create content sale presentationshelp create content market collateralother dutiessupport product testingsupport content generation digital productsqualificationsgraduate degree quantitative actuarial field required3+ year professional experiencewillingness ability travel 20should experience deal large datasets use language sql sasexcellent verbal write communication skill must experience successfully explain technical result technical nontechnical audiencesinsurance professional designation demonstrate industry knowledge plus fcas acas cpcuexperience analyze pc insurance data plusexperience work insurance company following department rd product management claimsshould passion work fast paced environment develop new cut edge digital productsbottom line requirements1graduate degree quantitative actuarial field23+ year professional experience insurance industry rd product management claims3experience deal large datasets use language sql sas4insurance professional designation demonstrate industry knowledge plus fcas acas cpcu5experience analyze pc insurance data plus bottom line requirements1graduate degree quantitative actuarial field23+ year professional experience insurance industry rd product management claims3experience deal large datasets use language sql sas4insurance professional designation demonstrate industry knowledge plus fcas acas cpcu5experience analyze pc insurance data plus didnotprovidebenefits,0,1
4,assistant position best job wait didnotprovidedepartment au nsw sydney didnotprovidecompanyprofile exciting job opportunity would like individual joininnovative company company seek ambitious assistents take theposition manager work young dynamic team companythat value aspiration determination succeedyour aspiration achieve agreed business goal look every opportunity towork service client key success return willbe reward uncapped earn potential opportunity form part ofa global establish network wealth management professional focus onproviding commercial corporate taskprobation period 1 monthmain responsibility includethe accounting requirement dealeranalysis communication skillsif youre ready take new job case management experience please send cv email0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c basic knowledge pcpermanent access internetgood verbal write communicationany experience customer service sphere appreciate willbe reward uncapped earn potential opportunity form part ofa global establish network wealth management professional focus onproviding commercial corporate task,0,1
5,accounting clerk didnotprovidedepartment us nc didnotprovidecompanyprofile qualify candidate responsible basic daily clerical accounting task within account payable account receivable departmentsjob description may include answer vendor payment inquiry via email phone partner account personnel achieve daily task provide timely feedback supervisor regard vendor client performs file copying duty assign tag approve vendor invoice resolve discrepancy internally vendor process apply ar payment process ar invoice cut daily ap check upon approval applicant must possess competency following ability basic pc skills include microsoft office product word excel clerical accounting experience 1+ year prefer previous experience highvolume fast pace environment plus previous knowledge account payable receivables plus required didnotprovidebenefits,0,1
6,manufacture engineer didnotprovidedepartment us didnotprovidecompanyprofile engineering 100 employee own winding incurl6606cbb7a48bfa97e44a8291080db53150be427c46f47417707c84c42e675348 stator motor manufacturer new ulm mn opening mfg engineer qualify applicant bs manufacturing mechanical engineering prefer minimum 3 year experience solidworks process improvement qa experience plus need team player use logical method problem solving bring best around salary doq send resume hr po box 566 new ulm mn 56073 fx phone295dc589c25967c6f20fca857d6ed4fdcbd408cb41d6b94084e489f49a6f4629 emailemail20a400113df9b8ede9e3da14f665eb51a998c7586013e49e95008e1ab228a99d qualified applicant bs manufacturing mechanical engineering prefer minimum 3 year experience solidworks process improvement qa experience plus didnotprovidebenefits,0,1
7,frontendjavascript engineer frontend id jw jakarta didnotprovidecompanyprofile workable productdriven software company thousand enterprise user million venture funding build best recruiting software world frictionless usable robust highly scalable product help company find meet great peoplethe quality design usability software set us apart competition good engineer company value good engineering allwe team remarkably talented friendly developer strong engineering culture dogged emphasis customercentric design work sort excite area application development web mobile infrastructure performance uiux design integration dozen web service api development modern frontend framework scalability video natural language processing data science usability engineering agile methodology testdriven development thing read blog every dayour technology stack consist rails app java app run postgresql hbase db heroku aws mvc architecture relies rest apis connect internal building block external system development platform tool use include jquery backbone websolr redis braintree papertrail new relic mailgunwere look developer field saas application development several team work different area core application mobiletablet application integration natural language processing data science video technology find right team depend skill technology interestswe invest train junior engineer learn best retrain experienced developer technology stack use youre exceptionally good engineer want work worldclass software company youre right place consider seriously also build deploy commercial web application show usgood work knowledge least one object orient web framework preferably necessarilyrailsa demonstrable knowledge javascript cssa firm grasp multithreading database contention objectoriented designexperience usercentered interaction designa relevant bscba degreeextra credit always vague suspicion go graphical design read tufte one look goal create company employee enjoy benefit make productive contribute directly development professional skill want able attract best best make sure keep get well top exciting vibrant intellectually challenging workplace competitive salary offeringstock option planprivate health insurance planmobile telephony data planfree meal snack beveragesworkstation hardware choicelicenses software working tool choiceeducational expense buy book online seminar etc long educational benefit relate workattendance expense pay least one developer conference workshop choice per yearlending support personal experimentation research projectsflexible working hour ability work homeworkable decidedly equal opportunity employer want applicant diverse background hire without regard race color gender religion national origin ancestry citizenship disability age sexual orientation characteristic protect law,0,1
8,customer service representative didnotprovidedepartment us ca los angeles didnotprovidecompanyprofile responsible accurate timely handling inbound outbound delinquent phone callsanalyzes payment history note system clearly communicates status customerdocuments activity accordance establish procedure clear concise manner utilize appropriate system appropriate formsanalyzes account characteristic negotiates customer acceptable arrangement bring account current andor recommend appropriate solutionsuses appropriate collection skip tracing tool fast data extension due date change etc maintain delinquency repossession loss corporate objectivespromptly reportsrefers sensitive complex issue collection supervisoraccounts 60 day bucket solid arrangement referee supervisor next actioninitiates repossession procedure method bring account current unsuccessful experienceeducational requirements23 year experience commercial collection equivalentexcellent verbal communication interpersonal skillsstrong write communication skillsteam orient result drivenhigh school diploma equivalent require associate degree administrative field preferred13 year experience administrative andor accounting role prefer compensationbenefits package includescomprehensive benefit package include 401k matchingcompetitive wage base education experience,0,1
9,data entry accountingfinance us indianapolis didnotprovidecompanyprofile look flexible data entry person focus fast accurate sometimes lot little project need work maintain sometimes project work know kind person task hour time probably shouldnt respond postthis position mostly data entrycreating maintain company record databasebut may reimagining also involve little officetype work also officecustomer service experience answer telephone callswe inhouse traffic would plus must prior data entry experience ability work alone good comprehension communication skillswe communicate lot via email must able follow write instruction experience excel word comfortable work computer application navigate internet perform online research work ethicif sound like please respond tell little think youd good fit position also please attach resumethank benefit health dental life add insurance employee wellness 401k urlc801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63 time holiday generous company discount,0,1
